,Bean,PreDestroy,Configuration,Embedded,Lazy,PostConstruct,Scope,Primary,Qualifier,Conditional,ClawjectApplication,Internal,External,Dynamic
Bean,yes,no,no,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no
PreDestroy,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no
Configuration,no,no,yes,no,yes,no,yes,no,no,no,yes,yes,yes,yes
Embedded,yes,no,no,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no
Lazy,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes
PostConstruct,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no
Scope,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes
Primary,yes,no,no,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no
Qualifier,yes,no,no,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no
Conditional,yes,no,no,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no
ClawjectApplication,no,no,yes,no,yes,no,yes,no,no,no,yes,yes,yes,yes
Internal,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes
External,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes
Dynamic,no,no,yes,no,yes,no,yes,no,no,no,yes,yes,yes,yes
